event_logo_url,event_name,event_start_date,event_end_date,event_venue,event_country,event_description,event_url,mapped_industry
https://ispe.org/themes/custom/ispe/logo.svg,ISPE Singapore Conference & Exhibition 2024,8/28/2024,8/30/2024,Suntec Singapore,,One of the largest and most respected pharmaceutical manufacturing shows in Singapore for pharmaceutical and biomanufacturing professionals. The event highlights best practices and services from manufacturing facility design to finished product.,https://ispe.org/singapore-affiliate/events/ispe-singapore-conference-exhibition-2024,"pharmaceuticals, drug, medicine, biotech, biotechnology, pharmaceutical, pharmaceutical services, drug development, clinical trials, healthcare products, pharmaceutical Manufacturing, pharmaceuticals panufacturing"
https://mygfsi.com/wp-content/themes/consumer_goods_forum/assets/imgs/cgf-logo.svg,GFSI Conference,3/31/2025,4/3/2025,,,The annual rendezvous for everyone involved in advancing food safety and consumer trust worldwide.,https://mygfsi.com/events/gfsi-conference/,"food, beverage, restaurant, cafe, drink, food services, hospitality, catering, food production, beverage production"
https://oishii-world.com/wp-content/themes/foodjapan/static/img/logo2024.jpg,Food Japan 2024,10/24/2024,10/26/2024,Suntec Singapore,,"ASEAN Exhibition of Oishii Japanese F&B, Technology, and Services",https://oishii-world.com/en/,"tech, it, technology, technology services, information technology, software development, IT consulting, IT services, cybersecurity, cloud computing, data analytics, AI, artificial intelligence, machine learning, network security, computer networks"
https://qs.topuniversities.com/hubfs/raw_assets/public/QS%20Parent%20Theme/assets/qs_logo.svg,MBA and Master's Fair in Singapore,8/17/2024,8/17/2024,Carlton Hotel Singapore,,"Join Singapore's Premium Business School Tour, 17 August 2024: Discover World-Leading Business Schools!",https://qs.topuniversities.com/events/asia/singapore,"education, school, university, college, learning, online education, e-learning, educational services"
https://scholarsconferences.com/includes/img/logo.png,International Conference and Exhibition on Pharmaceutics and Drug Delivery Systems,9/23/2024,9/24/2024,Singapore,,"""Enlightening the recent advances in Drug Delivery Research and Nanomedicine""",https://scholarsconferences.com/pharmaceutics-drugdelivery-research/,"pharmaceuticals, drug, medicine, biotech, biotechnology, pharmaceutical, pharmaceutical services, drug development, clinical trials, healthcare products, pharmaceutical Manufacturing, pharmaceuticals panufacturing"
https://singaporefoodshows.com.sg/content/experience-fragments/singaporefoodshows/sg/en/site/header/master/_jcr_content/root/container/container_1082110446/container/image.coreimg.png/1716973741656/sfs-logo.png,World Food Fair,7/4/2024,7/7/2024,Singapore Expo Hall 4,,The annual World Food Fair is back for its 19th edition. One of the,https://singaporefoodshows.com.sg/world-food-fair/,"food, beverage, restaurant, cafe, drink, food services, hospitality, catering, food production, beverage production"
https://singaporefoodshows.com.sg/content/experience-fragments/singaporefoodshows/sg/en/site/header/master/_jcr_content/root/container/container_1082110446/container/image.coreimg.png/1716973741656/sfs-logo.png,Yummy Food Expo 2024,8/29/2024,9/1/2024,Singapore Expo,,A 4-day annual F&B consumer event showcasing food delectables,https://singaporefoodshows.com.sg/yummy-food-expo/,"food, beverage, restaurant, cafe, drink, food services, hospitality, catering, food production, beverage production"
https://themartechsummit.com/wp-content/uploads/2021/09/BEETc-Logo-min.png,The MarTech Summit Asia,4/8/2025,4/9/2025,Singapore,,"MarTech Revitalisation: Assemble, Synergise, Impact, Advance",https://themartechsummit.com/singapore/,"maritime, transportation, shipping, logistics, freight, ocean transport, sea transport"
https://tradersfair.com/img/logo_23.svg,Traders Fair Singapore,3/8/2025,,"Marina Bay Sands Singapore, expo and convention centre",Singapore,"Traders Fair offers a dynamic and engaging series of educational and networking events that traverse Asia and beyond, providing invaluable opportunities for learning and professional connections on a global scale.",https://tradersfair.com/singapore/,"education, school, university, college, learning, online education, e-learning, educational services"
https://www.apidays.global/wp-content/uploads/2024/01/apidays-2024_logo-min.png,Apidays Singapore,4/1/2025,4/1/2025,The Arts House at The Old Parliament,,"Connecting Customers, Business and Technology",https://www.apidays.global/singapore/,"tech, it, technology, technology services, information technology, software development, IT consulting, IT services, cybersecurity, cloud computing, data analytics, AI, artificial intelligence, machine learning, network security, computer networks"
https://www.artsg.com/wp-content/uploads/2022/11/ARTSG_Logo_2023.png,ART SG,1/17/2025,1/19/2025,Marina Bay Sands,,Third edition of ART SG featuring leading international galleries,https://www.artsg.com/,"entertainment, media, film, music, theater, broadcasting, publishing, content production, multimedia"
https://www.asiabusinessshow.com/cdn.asp.events/CLIENT_Business_DCF4FF16_FAB8_0D4B_807D8955A223D6D8/sites/TBSS-2023/media/TBS-Third-Logo-Asia-Dark.png,The Business Show Asia,8/28/2024,8/29/2024,Sands Expo & Convention Centre,,"Asia's Leading Event for Entrepreneurs, Business Owners and Startups",https://www.asiabusinessshow.com/,"education, school, university, college, learning, online education, e-learning, educational services"
https://www.asiainsurancereview.com/Portals/0/air.svg,11th Middle East Insurance Industry Awards 2024,11/21/2024,11/21/2024,Dubai,United Arab Emirates,"Theme: ""Unlocking Chinas Potential, Resilience and Power in the Worlds Insurance Landscape""",https://www.asiainsurancereview.com/Events/Home/Asia/lifesummit2024,"finance, banking, financial, investment, insurance, wealth management, asset management, financial planning, fintech, financial technology, Financial Services, venture, capital, venture capital, equity"
https://www.bex-asia.com/content/dam/sitebuilder/rxsg/bexasia/2024/new-bex-logo-transparent.png,BEX Asia,9/4/2024,9/6/2024,Marina Bay Sands,,The Built Environment Expo in Southeast Asia,https://www.bex-asia.com/,"nonprofit, non-profit, charity, ngo, non-governmental organization, social services, philanthropy, volunteer services"
https://www.bigdataworldasia.com/images/logo.png,Big Data & AI World Asia,10/9/2024,10/10/2024,"Marina Bay Sands Expo & Convention Centre, Singapore",,Premier event exploring the intersection of Big Data and AI,https://www.bigdataworldasia.com/,"tech, it, technology, technology services, information technology, software development, IT consulting, IT services, cybersecurity, cloud computing, data analytics, AI, artificial intelligence, machine learning, network security, computer networks"
https://www.cleantech.com/wp-content/uploads/2023/03/CTF-Asia-2023-Logo.png,Cleantech Forum Asia,5/6/2025,5/7/2025,Sheraton Towers Singapore,,Cleantech Forum Asia connects professionals in the sustainable,https://www.cleantech.com/event/cleantech-forum-asia/,"nonprofit, non-profit, charity, ngo, non-governmental organization, social services, philanthropy, volunteer services, environment"
https://www.cloudexpoasia.com/images/logo.png,Cloud Expo Asia Singapore 2024,10/9/2024,10/10/2024,Marina Bay Sands,,Cloud Expo Asia is a leading technology event for enterprise solutions,https://www.cloudexpoasia.com/,"tech, it, technology, technology services, information technology, software development, IT consulting, IT services, cybersecurity, cloud computing, data analytics, AI, artificial intelligence, machine learning, network security, computer networks"
https://www.sgpetfestival.com/wp-content/uploads/2024/01/logo-white-sgpetfestival.png,SG Pet Festival 2024,8/2/2024,8/4/2024,"Marina Bay Sands Singapore Convention Centre, Level 1, Hall A, B & C",,Step into the enchanting world of furry friends at the SG Pet Festival,https://www.clubpets.com.sg/sg-pet-festival/,"nonprofit, non-profit, charity, ngo, non-governmental organization, social services, philanthropy, volunteer services, environment"
https://www.constellar.co/content/experience-fragments/constellar/sg/en/site/header/master/_jcr_content/root/container/image.coreimg.png/1677301200530/constellar-logo.png,Process Innovation Asia-Pacific,11/19/2024,11/21/2024,"Canton Fair Complex, Guangzhou",,Guangzhou,https://www.constellar.co/,other
https://www.cybersecurityworldasia.com/cdn.asp.events/CLIENT_CloserSt_D86EA381_5056_B739_5482D50A1A831DDD/sites/CSWA-2023/media/branding/CSWA-White-wo-Dates.png,Cyber Security World Asia,10/9/2024,10/10/2024,Marina Bay Sands,,"PAVING THE WAY FOR THE FUTURE OF CYBERSECURITY. Cyber Security World Asia will return on 9-10th October 2024 at Marina Bay Sands, Singapore. With thousands of professionals, business leaders, and cybersecurity enthusiasts in attendance, the award-winning event offers a unique opportunity for networking and knowledge exchange. This expansive platform of professionals, thought leaders, and pioneering solution providers offers boundless opportunities to create partnerships, collaborate with peers, and future-proof your business. BE A PART OF THE COMMUNITY! Kicking-off our Call-for-Papers Campaign. Industry Thought Leaders, Join Us for this Edition!",https://www.cybersecurityworldasia.com/,"tech, it, technology, technology services, information technology, software development, IT consulting, IT services, cybersecurity, cloud computing, data analytics, AI, artificial intelligence, machine learning, network security, computer networks"
https://www.designfairasia.com/wp-content/uploads/2024/04/find-logo.png,FIND-Design Fair Asia,9/26/2024,9/28/2024,"Level B2, Marina Bay Sands",,"Join Asias Leading Furniture, Interiors And Design Event.",https://www.designfairasia.com/,"retail, shopping, online shopping, ecommerce, store, online store, consumer goods, retail sales, cosmetics, furniture, interior design"
https://www.digitalmarketing-conference.com/asia/wp-content/uploads/sites/3/2023/01/DMWF-Asia-2024-Logo.png,#DMWF Asia,2/26/2025,2/27/2025,Marina Bay Sands,,Exploring the Future of Digital Marketing Technologies,https://www.digitalmarketing-conference.com/asia/,"media, communications, public relations, advertising, marketing, media services, content creation, broadcasting"
https://www.ecommerceexpoasia.com/images/logo.png,eCommerce Expo Asia,10/9/2024,10/10/2024,Marina Bay Sands Expo & Convention Centre,,"eCommerce Expo Asia provides a platform for businesses to discover cutting-edge solutions, forge meaningful connections, and gain valuable insights to thrive in the ever-evolving ecommerce ecosystem.",https://www.ecommerceexpoasia.com/,"tech, it, technology, technology services, information technology, software development, IT consulting, IT services, cybersecurity, cloud computing, data analytics, AI, artificial intelligence, machine learning, network security, computer networks"
https://www.geoconnectasia.com/templates/geoconnectasia2024/images/2025_GCA__Lockup 3-Full Colour_GCA Lockup 3-Full Colour.svg,Geo Connect Asia,4/9/2025,4/10/2025,Sands Expo & Convention Centre,,Delivering sustainable solutions for the built environment,https://www.geoconnectasia.com/digital-construction-asia,"nonprofit, non-profit, charity, ngo, non-governmental organization, social services, philanthropy, volunteer services, environment"
https://www.industrial-transformation.com/adobe/dynamicmedia/deliver/dm-aid--6ae1b614-f9f2-48e3-b5c6-66c4713b15cc/group-18365-2x.png?preferwebp=true&quality=85,Industrial Transformation ASIA-PACIFIC 2024,10/14/2024,10/16/2024,Singapore EXPO,Singapore,"Constellar convenes businesses, curates ideas and creates opportunities for sustainable business growth.",https://www.industrial-transformation.com/,"consulting, advisory, consultant, business consulting, management consulting, strategy consulting, professional services"
https://www.issworldtraining.com/images/Banner8.gif,ISS World Asia,9/3/2024,9/5/2024,,,"ISS World Asia is the world's largest gathering of Regional Law Enforcement, Intelligence and Homeland Security Analysts, Telecoms as well as Financial Crime Investigators responsible for Cyber Crime Investigation, Electronic Surveillance and Intelligence Gathering. ISS World Programs present the methodologies and tools for Law Enforcement, Public Safety, Government and Private Sector Intelligence Communities in the fight against drug trafficking, cyber money laundering, human trafficking, terrorism and other criminal activities conducted over today's telecommunications network, the Internet and Social Media.",https://www.issworldtraining.com/ISS_AP/,"Entertainment, Government, Information Technology & Services, Financial Services, Pharmaceutical & Pharmaceutical Manufacturing, Media and Communications, Legal Services, Telecommunications"
https://www.itb-asia.com/resources/ck/images/logo.png,ITB Asia,10/23/2024,10/25/2024,Marina Bay Sands,Singapore,Asia's leading travel trade show,https://www.itb-asia.com/,"hospitality, hotel, resort, travel, tourism, lodging, accommodation services, hospitality management"
https://www.medicalfair-asia.com/img/logo.jpg,MEDICAL FAIR ASIA,9/11/2024,9/13/2024,Marina Bay Sands,,"15th International Exhibition on Hospital, Diagnostic, Pharmaceutical, Medical & Rehabilitation Equipment & Supplies",https://www.medicalfair-asia.com/,"pharmaceuticals, drug, medicine, biotech, biotechnology, pharmaceutical, pharmaceutical services, drug development, clinical trials, healthcare products, pharmaceutical Manufacturing, pharmaceuticals panufacturing"
https://www.meinsurancereview.com/Portals/0/meir.svg,11th Middle East Insurance Industry Awards 2024,11/21/2024,11/21/2024,Dubai,United Arab Emirates,"Theme: ""Unlocking Chinas Potential, Resilience and Power in the Worlds Insurance Landscape""",https://www.meinsurancereview.com/Events/Home/Asia/cfo2024,"finance, banking, financial, investment, insurance, wealth management, asset management, financial planning, fintech, financial technology, Financial Services, venture, capital, venture capital, equity"
https://www.osea-asia.com/wp-content/uploads/2021/11/OSEA-Offshore-Energy-Week-Logo_CMYK_OSEA_White-1024x523.png,OSEA 2024,11/19/2024,11/21/2024,Marina Bay Sands,,Integrating Offshore Energy Transition with Market Opportunities,https://www.osea-asia.com/,"energy, oil, gas, renewable, power, electricity, solar energy, wind energy, energy services, energy production"
https://www.seafoodexpo.com/divcomevents3-static.s3.amazonaws.com/uploads/sites/24/2022/06/seafoodexpo_asia__horiz_4c.svg,Seafood Expo Asia,9/4/2024,9/6/2024,Sands Expo and Convention Centre,,"Seafood Expo Asia is a trade event where buyers and suppliers of seafood from around the world come together to network and conduct business in the lucrative Asia markets. The next event will be held in Singapore from September 4-6, 2024.",https://www.seafoodexpo.com/asia/,"food, beverage, restaurant, cafe, drink, food services, hospitality, catering, food production, beverage production"
https://www.singaporeexpo.com.sg/adobe/dynamicmedia/deliver/dm-aid--549edff3-8a03-471f-848e-00cc6c084a39/logo.png?preferwebp=true&width=320&quality=85,CeMAT Southeast Asia,9/17/2024,9/19/2024,Singapore EXPO,Singapore,"Exhibition for intralogistics, supply chain management, and material handling solutions",https://www.singaporeexpo.com.sg/explore-singapore-expo/go-green,"transportation, logistics, freight, delivery, shipping, transport services, cargo, supply chain, trade, supply chain, logistics"
https://www.singaporeexpo.com.sg/adobe/dynamicmedia/deliver/dm-aid--549edff3-8a03-471f-848e-00cc6c084a39/logo.png?width=320&preferwebp=true&quality=85,Home Inspirations 2024,1/25/2025,1/27/2025,Singapore EXPO,,Home Inspirations 2024 is a home and interior design exhibition showcasing the latest trends and products.,https://www.singaporeexpo.com.sg/sg/organise-an-event/plan-your-event#1,"retail, shopping, online shopping, ecommerce, store, online store, consumer goods, retail sales, cosmetics, furniture, interior design"
https://www.singaporeexpo.com.sg/adobe/dynamicmedia/deliver/dm-aid--549edff3-8a03-471f-848e-00cc6c084a39/logo.png?preferwebp=true&width=320&quality=85,CeMAT Southeast Asia,9/12/2024,9/14/2024,Singapore EXPO,,Exhibition focusing on intralogistics and supply chain management solutions,https://www.singaporeexpo.com.sg/sg/organise-an-event/venue-spaces,"transportation, logistics, freight, delivery, shipping, transport services, cargo, supply chain, trade, supply chain, logistics"
https://www.singaporeexpo.com.sg/adobe/dynamicmedia/deliver/dm-aid--549edff3-8a03-471f-848e-00cc6c084a39/logo.png?preferwebp=true&width=320&quality=85,CeMAT Southeast Asia,9/12/2024,9/14/2024,Singapore EXPO,Singapore,"Exhibition for intralogistics, supply chain management, material handling, and logistics",https://www.singaporeexpo.com.sg/sg/organise-an-event/virtual-tour,"transportation, logistics, freight, delivery, shipping, transport services, cargo, supply chain, trade, supply chain, logistics"
https://www.singaporeexpo.com.sg/adobe/dynamicmedia/deliver/dm-aid--549edff3-8a03-471f-848e-00cc6c084a39/logo.png?preferwebp=true&width=320&quality=85,AFA Creators Super Fest 2024,7/27/2024,7/28/2024,Hall 3,Singapore,"Creators Super Fest is an innovative and engaging community event showcasing creative talents in Anime, Cosplay, Crafters & Music.",https://www.singaporeexpo.com.sg/sg/what-s-on/events-expo/AFA-Creators-Super-Fest-2024,"entertainment, media, film, music, theater, broadcasting, publishing, content production, multimedia"
https://www.singaporeexpo.com.sg/adobe/dynamicmedia/deliver/dm-aid--549edff3-8a03-471f-848e-00cc6c084a39/logo.png?width=320&preferwebp=true&quality=85,Sake Meguri 2024,7/27/2024,,Peridot 201-202,,"Sake Meguri, presented by Sake.sg, is gearing up for its second annual celebration, promising a captivating experience for both sake enthusiasts and newcomers.",https://www.singaporeexpo.com.sg/sg/what-s-on/events-expo/Sake-Meguri-2024,"entertainment, media, film, music, theater, broadcasting, publishing, content production, multimedia"
https://www.singaporeexpo.com.sg/adobe/dynamicmedia/deliver/dm-aid--549edff3-8a03-471f-848e-00cc6c084a39/logo.png?width=320&preferwebp=true&quality=85,The Big Furniture Fair 2024,11/15/2024,11/17/2024,Singapore EXPO,Singapore,Discover the latest trends and designs in furniture at this grand fair.,https://www.singaporeexpo.com.sg/sg/what-s-on/play-expo,"retail, shopping, online shopping, ecommerce, store, online store, consumer goods, retail sales, cosmetics, furniture, interior design"
https://www.singaporeexpo.com.sg/adobe/dynamicmedia/deliver/dm-aid--549edff3-8a03-471f-848e-00cc6c084a39/logo.png?preferwebp=true&width=320&quality=85,CeMAT Southeast Asia,9/17/2024,9/19/2024,Singapore EXPO,Singapore,"Exhibition for intralogistics, supply chain management, and material handling solutions",https://www.singaporeexpo.com.sg/what-s-on/feast-expo,"transportation, logistics, freight, delivery, shipping, transport services, cargo, supply chain, trade, supply chain, logistics"
https://www.sitce.org/eu-admin.eventscloud.com/file_uploads/4e181761f608468d227ddbef2a878cef_NewLogo1.png,LTA-UITP Singapore International Transport Congress & Exhibition 2024,11/6/2024,11/8/2024,Suntec Singapore Exhibition and Convention Centre,,"The leading public transport event in the Asia Pacific region themed ""Smarter Journeys for Sustainable Cities"".",https://www.sitce.org/website/7302/,"tech, it, technology, technology services, information technology, software development, IT consulting, IT services, cybersecurity, cloud computing, data analytics, AI, artificial intelligence, machine learning, network security, computer networks"
https://www.space.org.sg/gstc/wp-content/uploads/2020/07/GSTC-logo.png,Global Space and Technology Convention 2025,2/27/2025,2/28/2025,Singapore,,"The 17th edition GSTC 2025, is the go-to platform for your space and satellite business to connect with the burgeoning space industry in Asia. Join us as we explore the future world of space technology and unlock new possibilities.",https://www.space.org.sg/gstc/,"aerospace, aviation, aircraft, space, defense, aerospace engineering, aerospace manufacturing, space exploration"
https://www.terrapinn.com/logos/E10817.gif,Submarine Networks World 2024,9/25/2024,9/26/2024,Suntec Convention Centre,,The premier submarine communications event,https://www.terrapinn.com/conference/submarine-networks-world/index.stm,"marimaritime, transportation, shipping, logistics, freight, ocean transport, sea transportne"
https://www.terrapinn.com/logos/E10825.gif,Accounting & Business Show Asia 2024,10/16/2024,10/17/2024,"Sands Expo & Convention Centre, Singapore",,"Asias leading tech & strategy event for accountants, finance leaders and business owners",https://www.terrapinn.com/exhibition/accounting-finance-show-asia/index.stm,"finance, banking, financial, investment, insurance, wealth management, asset management, financial planning, fintech, financial technology, Financial Services, venture, capital, venture capital, equity"
https://www.terrapinn.com/exhibition/aviation-festival-asia/img/AFAlogo150.png,Aviation Festival Asia 2025,2/18/2025,2/19/2025,"The Suntec Centre, Singapore",,Business models. Technology. Sustainability. Innovation. For Asias aviation Industry.,https://www.terrapinn.com/exhibition/aviation-festival-asia/index.stm,"aerospace, aviation, aircraft, space, defense, aerospace engineering, aerospace manufacturing, space exploration"
https://www.terrapinn.com/logos/E10855.gif,EDUtech_Asia 2024,11/5/2024,11/7/2024,"Sands Expo & Convention Centre, Singapore",,Asias largest conference and exhibition for educators and EdTech providers,https://www.terrapinn.com/exhibition/edutech-asia/index.stm,"education, school, university, college, learning, online education, e-learning, educational services"
https://www.terrapinn.com/logos/E10871.gif,Seamless Asia 2025,2/26/2025,2/27/2025,"Suntec Convention & Exhibition Centre, Singapore",,"THE FUTURE OF PAYMENTS, BANKING & E-COMMERCE IN ASIA",https://www.terrapinn.com/exhibition/seamless/,"finance, banking, financial, investment, insurance, wealth management, asset management, financial planning, fintech, financial technology, Financial Services, venture, capital, venture capital, equity"
https://www.themeetingsshow-apac.com/cdn.asp.events/CLIENT_Northsta_5B1737B2_5056_B733_83AD112B2FDD2BEF/sites/tms-asia-pacific-2024/media/00.-TMS-APAC-LOGO/TMS_APC_LOGO_RGB_LIGHT_BG.png,The Meetings Show Asia Pacific,4/16/2025,4/17/2025,Marina Bay Sands,Singapore,"The Meetings Show Asia Pacific is a global event featuring destinations, venues, hotels, and other key suppliers. It includes a hosted buyer program, prescheduled meetings, an education program, and networking events.",https://www.themeetingsshow-apac.com/,"hospitality, hotel, resort, travel, tourism, lodging, accommodation services, hospitality management"
https://www.tocevents-asia.com/content/dam/markets/mart/toc-asia/MTM22TAS-RR-TOC-Asia-logo-RGB.png,TOC Asia,11/26/2024,11/27/2024,Marina Bay Sands,,Connecting the Port & Terminal Industry Across the APAC Region,https://www.tocevents-asia.com/en/home.html,"maritime, transportation, shipping, logistics, freight, ocean transport, sea transport"
https://www.utechseasia.com/images/UT-SEA-2024-1920x300-website-header.jpg,UTECH Southeast Asia,11/13/2024,11/14/2024,Marina Bay Sands,,Premier event in South East Asia dedicated to technical foam and polyurethanes,https://www.utechseasia.com/,"manufacturing, production, factory, industrial, manufacturing plant, assembly line, mass production"
https://www.worldchefscongress.org/img/congress-logo-2024.png,Worldchefs Congress & Expo 2024,10/20/2024,10/25/2024,Singapore,,The biennial event for industry leaders and culinary innovators,https://www.worldchefscongress.org/,"manufacturing, production, factory, industrial, manufacturing plant, assembly line, mass production"
